# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YML026C_YDR450W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YDR099W_YER177W YMR143W_YDL083C YJL177W_YKL180W YJR048W_YEL039C YBR191W_YPL079W YDR418W_YEL054C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
1.120000000000000000e+02 1.180000000000000000e+02 3.810000000000000000e+02 1.410000000000000000e+02 1.850000000000000000e+02 3.180000000000000000e+02 1.550000000000000000e+02 1.970000000000000000e+02 4.980000000000000000e+02 3.310000000000000000e+02 2.480000000000000000e+02 1.340000000000000000e+02 1.830000000000000000e+02 1.080000000000000000e+02 1.590000000000000000e+02 1.630000000000000000e+02 2.880000000000000000e+02 2.680000000000000000e+02 1.360000000000000000e+02 1.129000000000000000e+03 8.370000000000000000e+02 1.980000000000000000e+02 6.550000000000000000e+02 3.310000000000000000e+02
-1.182136619578228419e+03 -1.211077320369774043e+03 -5.889206422006170214e+03 -1.387975880377191288e+03 -2.144618745233910886e+03 -5.817498028261518812e+03 -3.314505675990115378e+03 -2.334082680384561172e+03 -1.563982533882983989e+04 -6.811286406286616511e+03 -3.491437220073239587e+03 -1.224027431625905592e+03 -1.842294925698836323e+03 -1.881275604435749756e+03 -1.479098541725267296e+03 -1.751240349439606234e+03 -5.797799186076888873e+03 -9.382479572481333889e+03 -1.372143454663569401e+03 -1.888684057514353117e+04 -2.768864506377347425e+04 -2.062983408784136827e+03 -2.405071059297621105e+04 -1.048502904400787884e+04
3.228378887547883047e-01 3.289091875513636132e-01 2.562522770367476332e-01 2.986051340329234915e-01 2.759879800244028347e-01 2.867872803399716952e-01 2.827241445847297752e-01 2.815274693504228321e-01 3.229671143480746243e-01 2.814806267955510810e-01 2.882907207000431904e-01 2.957058628997794592e-01 3.094274789622176169e-01 3.020643759893105185e-01 3.020958773688460219e-01 2.985585333944132946e-01 3.189803107435155161e-01 3.230391722130191434e-01 2.678494504853827229e-01 2.815969992072168693e-01 3.229123835343769566e-01 2.930636216240175562e-01 3.229202146125653705e-01 3.230265378264723930e-01
1.863642009899956764e-01 2.398764595844097569e-01 2.097151099694892773e-01 2.187852813523627760e-01 2.206001682747390780e-01 2.105301460858692852e-01 2.150777690058231773e-01 2.032202866891472670e-01 1.726251082670452741e-01 2.281253623782762696e-01 2.252276261991096318e-01 2.057259071760575986e-01 2.276657339165789329e-01 2.000194678925239222e-01 2.167098960177619160e-01 2.093442925427810020e-01 2.079294222584991136e-01 1.668547831391337666e-01 1.908159858614608684e-01 2.064816271832816130e-01 1.690591886394196275e-01 2.142129316038039744e-01 1.679358988530273988e-01 1.650571438651617928e-01
2.018300194827026828e-01 1.806924404299826425e-01 2.163897067423481702e-01 2.010079109710724288e-01 2.002597291674498570e-01 2.129362382719392210e-01 2.316461222976620715e-01 2.032573574340410805e-01 2.021738024437974013e-01 1.957601795496445585e-01 1.744205791672260863e-01 1.904360279586348736e-01 1.776975127035862745e-01 2.255554917496515599e-01 1.861251777582862976e-01 1.857209036446575423e-01 2.189030918651517776e-01 2.021693071434308153e-01 2.205237574630902475e-01 1.973463582516279680e-01 2.021772125389814379e-01 2.046527428263177906e-01 2.021767248362461300e-01 2.021700957957356382e-01
2.889678907725133361e-01 2.505219124342439874e-01 3.176429062514148915e-01 2.816016736436412482e-01 3.031521225334082859e-01 2.897463353022198262e-01 2.705519641117849483e-01 3.119948865263887927e-01 3.022339749410827281e-01 2.946338312765280909e-01 3.120610739336210360e-01 3.081322019655280964e-01 2.852092744176172867e-01 2.723606643685140272e-01 2.950690488551057644e-01 3.063762704181481888e-01 2.541871751328335649e-01 3.079367375044162469e-01 3.208108061900660779e-01 3.145750153578734665e-01 3.058512152872219780e-01 2.880707039458607621e-01 3.069671616981610729e-01 3.097462225126302315e-01
6.276917611525084872e+00 6.784709907194535816e+00 4.332795746807574844e+00 5.692496549776279835e+00 5.434625475057210053e+00 3.665882983743892432e+00 2.226591970501901940e+00 5.446619733632828364e+00 4.613850544604471970e+00 2.956636456361599219e+00 5.415896259586336470e+00 7.833511371631809439e+00 6.448326502616854583e+00 2.870189164507731316e+00 7.940758082601293566e+00 8.398618164647423612e+00 3.076444175455985253e+00 4.585954647129391937e+00 8.432076500696584986e+00 3.490144601215368070e+00 4.556465227833230713e+00 7.099781491517467735e+00 4.469385081502107226e+00 4.573634350456710962e+00
8.475116635805821086e-02 5.255831910160260745e-02 6.763087324703184744e-02 8.226155045485065986e-02 1.115955779644410839e-01 5.848289308940589348e-02 3.433248209368750664e-02 1.668159657335711310e-01 1.181668333714974289e-01 1.037846634430956705e-01 2.473623625173588386e-02 5.547761261666678267e-02 9.539739423205913227e-02 6.194858463350762234e-02 9.038888238410397458e-02 7.559331743447360308e-02 4.941004874092022603e-02 1.160319902661733210e-01 5.509396295752424372e-02 4.697813467777130908e-02 1.167625059980966912e-01 1.867533937142663025e-01 1.206706135517449374e-01 1.118455999692363895e-01
1.731323389924831480e+00 1.297060531386033722e+00 1.816142603656504706e+00 3.710006199594927612e+00 2.950518032724051221e+00 1.718004698663089247e-01 2.925873095601534968e-01 1.307826356205978868e+00 3.503895885318064618e+00 6.034374173344950881e-02 3.760119717337033762e-01 3.592095419885635188e+00 1.951794269241469815e+00 4.029476961166262861e-01 4.051282194101872847e+00 1.361074739333520967e+00 2.589331396476853842e-01 3.508380564473862595e+00 2.940911825328770046e+00 1.088267172103812630e+00 3.508904705543065106e+00 4.938994470796369107e+00 3.500264117295315724e+00 3.411676720785968175e+00
4.333451858741203117e-02 1.714008533745489671e-02 2.353403277337340338e-01 4.956066197095659875e-02 8.466176926794044891e-03 6.696416360701033799e-02 4.841104551082422991e-01 5.939092228897695225e-02 5.374593707652235153e-02 2.553416641685074540e-01 3.731232985193026069e-02 1.317781231711993850e-02 1.164145759529977738e-02 2.156716368453901606e-02 6.628034047882242971e-03 1.189270792588742985e-02 4.072446042235176034e-01 5.379732385891827784e-02 1.071869141551888907e-02 1.280101817915482443e-01 5.368478025552271549e-02 3.593703690494960690e-02 5.273385105792641192e-02 5.429304758419811749e-02
2.460634855496353912e-01 2.204231693771802336e-01 6.795483353268549909e-01 2.128837263678709790e-01 1.990077356159188349e-01 8.381800367832630272e-01 5.068107117690876073e+00 2.903947373810458199e-01 3.455292419247662505e-01 1.146141424499944383e+00 6.584075632717055759e-01 1.686878034190626985e-01 2.230627951310824308e-01 8.075259766934141936e-01 1.801233563068036780e-01 2.480369355853423718e-01 2.345780251269338201e+00 3.459060802430733994e-01 2.296251490279464513e-01 8.163109046488640219e-01 3.451008497911260409e-01 2.221461280418195183e-01 3.389929593210552761e-01 3.490852602213528333e-01
7.798111537827791262e-02 1.152807391473487514e-01 2.425568060300448414e-01 8.345284230658030211e-02 8.934540184314669620e-02 4.198838805765245930e-01 3.058417896897077437e+00 1.451451082702222561e-01 9.630890403527865573e-02 5.828491749521381715e-01 4.050911756722532786e-01 9.200895134137179743e-02 1.496918683806194583e-01 5.446456086779097872e-01 1.135240940060359416e-01 1.550470270215260904e-01 1.609863819890587244e+00 9.640939582864976876e-02 1.352466577805785108e-01 3.964737163567632061e-01 9.619294006162688870e-02 1.011648883212940137e-01 9.448995144546890046e-02 9.729628690022561199e-02
1.651998216669418318e-01 2.032830840397253369e-01 4.442080075931209571e-01 1.402503012288500717e-01 1.905415586891248125e-01 7.712158731762527308e-01 3.468955160787539960e+00 2.310038150920688538e-01 2.058875627831581456e-01 8.907997603314369295e-01 6.210952334197753499e-01 1.555099911019428016e-01 2.114213375357826552e-01 7.859588130088751567e-01 1.734953222589214472e-01 2.361442276594549472e-01 1.938535647045820598e+00 2.061344260076473922e-01 2.189064576124275519e-01 6.883007228573158054e-01 2.056153856025799698e-01 1.862090911368699531e-01 2.019786058422775865e-01 2.080250327275588451e-01
1.949697778685122521e-02 1.800959148964253673e-02 4.824341731202748396e-02 2.562944715260152048e-03 1.158373784401353461e-02 6.342700629444023019e-02 8.761337885073319787e-02 2.008348858220872571e-02 2.460677045388536682e-02 3.967777592709415685e-02 4.101750810314292589e-02 1.613990050534491738e-02 1.048630780683020361e-02 3.301705314138402014e-02 4.237154462080207351e-03 7.238731916447387581e-03 6.810673052083146550e-02 2.463495333814638352e-02 2.130282061186438911e-02 4.437824576004888860e-02 2.457524143267869957e-02 2.009510267702954017e-02 2.414043133365695315e-02 2.486113199229183016e-02
8.721870628866390529e-02 8.800234489237659941e-02 2.016512015630761712e-01 5.679745892226979731e-02 1.011961568459780886e-01 3.513319925997281379e-01 4.105372638904624116e-01 8.585870682184661151e-02 1.095786587478795177e-01 3.079505853792987580e-01 2.160040577475220436e-01 6.350103976057096256e-02 6.172946915516319688e-02 2.413132043309653696e-01 5.997122825288550563e-02 8.109720063792884293e-02 3.286718271552332982e-01 1.097250301789976512e-01 8.365979983184901325e-02 2.918270065005526548e-01 1.094224455409530811e-01 8.504420281557589778e-02 1.074886543968086861e-01 1.107287458273332470e-01
1.254123322216979010e-02 1.847478149929779670e-02 4.219621242225492924e-02 4.500203367927803550e-05 1.756632806204811575e-02 7.722536181894472385e-02 7.086515203290935649e-02 7.831578059526415544e-03 1.583454136024198614e-02 4.685510482588771397e-02 2.156503583397267540e-02 1.193660472435586692e-02 1.402560815442065352e-02 2.323897695085076417e-02 1.739735877050619522e-02 1.853440422185386946e-02 4.902735297512614276e-02 1.585347398118284665e-02 1.586363781673831228e-02 6.271783798207333782e-02 1.581364847081759978e-02 2.268045795287767369e-02 1.553394223964185868e-02 1.599888705089395208e-02
6.772172850181268355e-02 6.999275340273408696e-02 1.534077842510486733e-01 5.423451420700965003e-02 8.961241900196455223e-02 2.879049863052879354e-01 3.229238850397291860e-01 6.577521823963788927e-02 8.497188829399414389e-02 2.682728094522046081e-01 1.749865496443790969e-01 4.736113925522605905e-02 5.124316134833299674e-02 2.082961511895813356e-01 5.573407379080529134e-02 7.385846872148145448e-02 2.605650966344018049e-01 8.509007684085125034e-02 6.235697921998459986e-02 2.474487607405037037e-01 8.484720410827437109e-02 6.494910013854633679e-02 8.334822306315171903e-02 8.586761383504142031e-02
