# YLR406C_YDL075W YER131W_YGL189C YDR502C_YLR180W YML026C_YDR450W YNL301C_YOL120C YHR106W_YDR353W YIL057C_YER067W YPL087W_YBR183W YNL069C_YIL133C YDR518W_YCL043C YGR043C_YLR354C YDR099W_YER177W YBR024W_YBR037C YPL037C_YDR252W YMR143W_YDL083C YPR159W_YGR143W YJL177W_YKL180W YJR048W_YEL039C YBR191W_YPL079W YER074W_YIL069C YDR418W_YEL054C YNL049C_YIL109C YBR117C_YPR074C YPL232W_YMR183C YLR284C_YOR180C YBL087C_YER117W YGL062W_YBR218C YIR033W_YKL020C YMR243C_YOR316C YLR333C_YGR027C YMR142C_YDL082W YER102W_YBL072C YAL056W_YOR371C YDR438W_YML018C
1.120000000000000000e+02 1.180000000000000000e+02 3.810000000000000000e+02 1.410000000000000000e+02 1.850000000000000000e+02 3.180000000000000000e+02 1.550000000000000000e+02 3.060000000000000000e+02 1.970000000000000000e+02 4.980000000000000000e+02 3.310000000000000000e+02 2.480000000000000000e+02 2.770000000000000000e+02 1.420000000000000000e+02 1.340000000000000000e+02 6.690000000000000000e+02 1.830000000000000000e+02 1.080000000000000000e+02 1.590000000000000000e+02 1.330000000000000000e+02 1.630000000000000000e+02 8.340000000000000000e+02 6.790000000000000000e+02 2.880000000000000000e+02 2.680000000000000000e+02 1.360000000000000000e+02 1.129000000000000000e+03 8.370000000000000000e+02 3.730000000000000000e+02 1.070000000000000000e+02 1.970000000000000000e+02 1.980000000000000000e+02 6.550000000000000000e+02 3.310000000000000000e+02
-1.178099095948568902e+03 -1.205184745315644477e+03 -5.755651299875651603e+03 -1.382193904801096551e+03 -2.139307676330656250e+03 -5.794300002023449451e+03 -3.307558016160895932e+03 -7.202773222434447234e+03 -2.322828971310308134e+03 -1.265635096163144590e+04 -6.779743802930476704e+03 -3.478052594846586999e+03 -6.761112806838227698e+03 -2.917441476007340043e+03 -1.209750001369998699e+03 -1.427567842965198543e+04 -1.837058115352379446e+03 -1.875135869790534343e+03 -1.467294344067138582e+03 -1.251963342241821920e+03 -1.739176284944941926e+03 -1.885569548643357484e+04 -1.339988338923666561e+04 -5.775843938875196727e+03 -7.332408039842555809e+03 -1.367679293591703754e+03 -1.886523868628398850e+04 -2.173455978600379603e+04 -8.709527378377957575e+03 -1.261998691974581789e+03 -2.054050773074953668e+03 -2.058956257150112378e+03 -1.852447971134641557e+04 -8.416002233145192804e+03
3.242643467737351126e-01 3.291643531640604525e-01 2.664883158386336937e-01 3.003058272908455395e-01 2.811428740394408821e-01 2.888759696607793304e-01 2.831067034083045164e-01 2.880220036185405230e-01 2.826049435489798589e-01 2.827406966510143671e-01 2.870413489046457767e-01 2.883517773346134239e-01 2.914765805331421267e-01 3.259510951226616826e-01 3.000370176596611760e-01 3.138130013217609315e-01 3.095234119084927515e-01 3.042202438077624693e-01 3.003520034080112699e-01 3.048758334151684402e-01 2.983874625374034473e-01 3.135540235609435289e-01 2.785302054959740148e-01 3.192881504851803331e-01 2.960862063480572681e-01 2.678499498725137040e-01 2.828766553859694555e-01 3.257978018987379709e-01 2.766861818766827019e-01 2.902175437445855266e-01 3.173205768631783830e-01 2.931395656391310722e-01 3.360675345369354416e-01 2.737048421054938951e-01
1.872856911524573564e-01 2.404525236891233153e-01 2.240572229069293930e-01 2.086037173974866210e-01 2.116770699256378396e-01 2.082806362558424496e-01 2.145723498620021319e-01 1.718682526157387647e-01 2.024154304566483376e-01 2.490679275346210919e-01 2.218128799428508435e-01 2.241588159853459550e-01 1.967216747215983774e-01 2.272190064805171272e-01 1.972742169599750461e-01 1.775013208202569082e-01 2.272017739368269729e-01 1.993057970484381491e-01 2.139218167583955277e-01 2.123275266247137971e-01 2.095565383408926896e-01 1.884782801710042643e-01 2.253171448373044172e-01 2.069645666294497866e-01 1.807242170847614682e-01 1.904985712586426128e-01 2.051732102757503062e-01 1.876160950190287058e-01 2.046807418036533655e-01 2.207467451298996963e-01 2.183089353400167743e-01 2.136780426554418799e-01 1.712317105752839130e-01 1.966997092640687672e-01
2.008185070226010116e-01 1.823835084717791988e-01 2.009783736231214313e-01 2.032359938215945461e-01 2.048376690756635310e-01 2.137430110499558555e-01 2.319319493126119347e-01 2.084749022162953325e-01 2.014920591930096649e-01 1.953668172647495260e-01 1.951292856038659984e-01 1.748908789750378556e-01 2.273234443851090136e-01 1.805532197024583563e-01 1.879739202522580643e-01 1.795848041190555577e-01 1.777545193350834885e-01 2.235760453278116955e-01 1.921635981184275643e-01 2.007124100028468694e-01 1.871342607296179461e-01 1.797105672132100485e-01 1.908330284203763327e-01 2.182659498541617282e-01 2.396770634165832081e-01 2.210384489066552494e-01 1.966693127412370568e-01 1.918033991266526739e-01 2.002986107482610523e-01 1.965904333392154979e-01 1.930360381112694590e-01 2.048233059498366648e-01 1.983404365667048863e-01 2.166429610733092426e-01
2.876314550512065193e-01 2.479996146750370611e-01 3.084760876313153988e-01 2.878544614900733767e-01 3.023423869592577473e-01 2.891003830334223368e-01 2.703889974170814448e-01 3.316348415494254076e-01 3.134875668013620831e-01 2.728245585496149594e-01 2.960164855486374091e-01 3.125985277050027933e-01 2.844783003601504268e-01 2.662766786943628339e-01 3.147148451281056025e-01 3.291008737389265471e-01 2.855202948195968427e-01 2.728979138159876583e-01 2.935625817151655270e-01 2.820842299572708933e-01 3.049217383920858615e-01 3.182571290548422693e-01 3.053196212463452075e-01 2.554813330312081798e-01 2.835125131505980001e-01 3.206130299621883228e-01 3.152808215970431815e-01 2.947827039555806494e-01 3.183344655714028804e-01 2.924452777862993069e-01 2.713344496855353838e-01 2.883590857555904385e-01 2.943603183210757313e-01 3.129524875571281228e-01
6.296339371120796002e+00 6.607463965874646128e+00 3.841163827000795727e+00 5.525113845871262974e+00 5.364070993474289395e+00 3.686847634984648181e+00 2.211610273083181699e+00 2.747010659438501978e+00 5.432735983467948060e+00 2.512194674048116916e+00 2.922216138982528744e+00 5.159174820482803625e+00 2.386420159504014649e+00 2.756039396278337605e+00 1.141593449139551986e+01 3.044313006873057503e+00 6.361830912754993683e+00 2.831604939994324166e+00 8.166980034398314103e+00 9.071069639004770480e+00 8.405574175907290169e+00 2.939013017783825621e+00 2.834642835411038675e+00 3.082995765742134964e+00 2.425976568817250545e+00 8.441932489911854631e+00 3.523176445398906065e+00 2.657417936016658544e+00 2.614490676435524907e+00 5.599452740075579804e+00 7.297412981087543216e+00 7.126992528427112283e+00 2.512628417500769373e+00 2.839358349275290294e+00
8.562907771098234033e-02 5.470836839263618079e-02 4.153515380251535105e-02 7.378841341603449566e-02 1.267385663186645361e-01 6.078102425051379321e-02 3.406737791346718669e-02 6.649224896561309328e-02 1.725517420642824484e-01 1.170500429312565371e-01 1.104539611025213697e-01 2.573128958041128941e-02 8.954731182761263564e-02 1.512920901347058200e-01 2.432461462482532824e-02 7.168811353268458864e-02 9.520839551279544621e-02 6.408620421956642832e-02 9.279073929905469476e-02 1.348292815834159497e-01 7.618245722597381808e-02 7.178410257733709721e-02 8.366681823248524330e-02 4.707938598667164160e-02 9.304178300405382962e-02 5.602791826467380665e-02 4.739807214280376130e-02 8.536528761062407711e-02 1.021715013894624879e-01 1.489005251971228794e-01 2.240262759208024312e-01 1.893591078887889301e-01 1.220677756746543913e-01 1.056761057864763903e-01
1.651983926988244589e+00 1.356890876676432933e+00 5.849190605665326448e-01 3.680886260548214661e+00 2.480504201617721893e+00 1.819639014059305504e-01 2.921044289232094804e-01 1.285216754121417670e-01 1.464523964257321564e+00 1.745913656695952942e-01 7.677977326761367682e-02 3.569782803879484878e-01 1.176322731086705126e-01 1.517383746019513036e-01 3.161851797519804830e+00 2.416101808873397927e-01 1.765240993953305804e+00 3.828593666906559556e-01 3.831815400515150127e+00 7.469095309270537442e+00 1.409446195801112633e+00 1.882462426095669328e-01 1.662790593892511659e-01 2.745524232272175680e-01 3.424627154035154997e-02 2.810347563489053790e+00 1.086502350024135310e+00 1.404287287710794530e-01 9.562033294415922535e-02 3.280799667219454374e+00 5.704053804308837350e+00 4.867206099825401644e+00 6.887715104923371190e-02 6.201436216235476501e-02
4.060172762503373028e-02 4.412392878918720840e-02 2.050465342026157878e-01 3.280723501843554185e-02 8.362472648619759599e-03 1.015422170448766342e-01 4.987994099477843224e-01 4.387851060572141026e-01 1.162202787306869656e-01 1.899573739161414532e-01 3.435922173309088890e-01 2.197915499480856960e-02 1.705299998843767539e-01 5.702476613260911570e-02 4.832492972369723341e-05 1.021532131824934436e-01 3.400686370477691226e-06 4.081379195321910985e-02 3.551040400857201351e-02 3.885084450303035664e-11 1.966472921127362244e-02 5.108307841991533982e-01 9.514428450356522682e-02 5.641279468336926062e-01 1.339237434494439383e-01 1.724091767530964298e-02 1.348411159834007056e-01 6.012923319266698652e-01 2.974720584294102688e-01 6.062805285900808535e-07 6.778753270617375593e-02 5.188127280064875474e-02 2.709480834533273819e-01 1.155090632986516708e+00
2.371496149412691545e-01 1.141210184017918822e-01 2.338703716844352243e-01 2.059556633174217943e-01 1.767249521121424805e-01 5.531732949265139032e-01 5.058976261667027075e+00 2.474409243130221370e+00 1.311800388709678244e-01 1.555788624271911447e+00 4.801260401794178456e-01 6.420403288486454807e-01 1.484330617066369262e+00 5.640800740870058894e-01 7.069583900091552797e-02 1.999638137043167285e+00 2.238849977460979634e-01 5.325699176401699209e-01 1.192739956995864659e-01 2.118456906501543224e-01 2.156490974658336612e-01 1.324564629277009464e+00 5.724288610482988204e-01 2.036887647659118894e+00 3.210920456507091458e+00 2.159926359837590626e-01 7.855750189033994246e-01 2.891664556511835737e+00 1.111637550467545310e+00 3.539111869516903264e-01 1.463215829585646222e-01 1.828089597631125385e-01 3.634873335012335893e+00 1.041043847393423594e+00
1.090359340783814412e-01 1.334621569038111633e-01 2.265754573672141003e-01 1.138953451518835980e-01 8.424994241405728279e-02 6.070615727837582742e-01 2.544589163755948125e+00 2.544743013988397973e+00 1.789959784837325540e-01 2.586469099471363275e+00 5.661511772416443211e-01 4.719528631053125367e-01 1.921290819174177100e+00 1.244649031468989087e+00 1.766928406784510075e-01 1.249129954966328171e+00 1.804205107270307751e-01 6.611122472631728586e-01 1.378977558240684353e-01 9.659282015860658210e-02 2.092789372782866975e-01 1.438468674386306212e+00 9.435899309633363208e-01 1.216591319064502574e+00 2.502461058529160454e+00 1.680256630538921603e-01 3.945076628608259472e-01 2.888489497003592810e+00 1.134551373439532052e+00 2.155372014726805729e-01 8.793685742527396210e-02 9.023158820362617294e-02 2.142486228484130617e+00 2.137419722676857869e+00
1.169958855943975112e-01 1.815677292115246422e-01 5.963039930166278424e-01 1.531751667262913064e-01 2.660464742479429212e-01 5.556119095364706606e-01 4.079684765316459405e+00 3.143720615283465136e+00 1.969401780643942057e-01 2.278234060727529098e+00 9.569145619483740983e-01 4.754014531889472761e-01 2.283073847020629987e+00 4.136733048140359137e-01 1.315471352771981073e-01 1.788110954423023591e+00 1.801582036206343662e-01 6.506382765221913056e-01 1.021163670411143060e-01 2.001479229489906975e-01 1.717204855869100266e-01 2.745827423068186057e+00 1.164071657356565481e+00 2.624792096604120051e+00 3.104726360642169336e+00 1.621341363290006166e-01 6.899557818484813865e-01 3.365325413770819285e+00 1.182316092858849421e+00 4.230852611261862184e-01 1.766192827178457991e-01 1.996371323183035451e-01 2.820294551871786570e+00 1.706949123022259318e+00
2.695242255029996203e-02 3.500723050639007600e-02 8.998068750871991706e-02 1.700451745048796380e-05 1.415998301295979915e-02 1.335926985850402204e-01 1.600968810103361450e-01 1.211561478829799587e-01 2.510866438865448635e-02 1.314482315082432518e-01 1.001178700847997899e-01 8.029314345888492743e-02 1.363995844244297040e-01 4.316333045909873101e-02 2.873567876920418013e-02 1.560096074573377734e-01 3.083993160831126346e-02 1.108126255406945565e-01 2.788767541209034515e-02 5.281191376519197414e-08 2.571957697279649360e-02 5.757060831554005470e-02 1.079172984117661577e-01 1.236336399263195801e-01 2.112834820996895568e-01 5.115020199202520435e-02 9.370710275396433586e-02 1.997976439583551700e-01 1.817863002049835974e-01 2.331069741281445451e-02 1.822851526557005795e-03 2.612874727370176342e-02 2.259425413288685125e-01 1.271047001417736633e-01
7.469064180659733265e-02 5.866958519013430740e-02 1.262636127429147548e-01 5.663525857671362906e-02 8.256945567235797478e-02 2.459345674162054241e-01 2.908334194862206568e-01 2.802161918350054570e-01 7.789291404432636956e-02 3.014454336218257424e-01 1.908877962864446720e-01 1.626815712302124572e-01 3.308077611811863772e-01 2.369680509928032974e-01 4.997183453890020888e-02 2.771048198642271365e-01 2.715112785455301228e-02 1.354952958851705358e-01 1.687549363157199445e-02 4.792243244652889117e-02 2.662992473425112097e-02 2.689574452077844735e-01 1.787590946951712889e-01 2.392016084344547600e-01 2.738270489207779712e-01 4.885075218272273007e-02 2.032343682931726514e-01 2.756764217250075588e-01 2.492638690709221283e-01 4.907465704494069769e-02 4.491795260951932794e-02 7.133604299018130035e-02 3.354065640733876474e-01 3.591031713708712769e-01
2.012777661622352707e-02 3.464440261932188320e-02 8.531871750578279290e-02 4.218443998838908383e-07 1.930163162756260917e-02 1.375452371366660542e-01 1.360683812456596753e-01 8.678227909662267203e-02 5.652109961391976224e-03 1.288698756886039187e-01 7.659437798109322570e-02 6.472218125439013758e-02 1.456999302024117315e-01 4.662640004022869378e-02 8.437470546198170759e-03 9.202755533519207942e-02 1.986200787532259662e-02 2.983602300443653418e-02 2.071560451060536212e-02 9.234455799084028044e-09 3.214235717918435820e-02 1.393711801608940870e-01 9.863509726735687766e-02 9.470431709785918917e-02 1.912722502162958749e-01 2.855462109749950378e-02 1.030477720436940997e-01 1.119738092439306332e-01 8.121162877516907574e-02 3.231153096843164541e-02 1.910664933431641122e-02 1.739940486394028415e-02 1.076065387660693762e-01 1.415532266720166410e-01
6.057696812756342003e-02 4.585019730346738542e-02 1.722445923654416788e-01 7.913612148181850547e-02 1.057907610287063399e-01 2.276361779258269935e-01 2.518595368268566337e-01 2.577784274183579361e-01 8.153323254006536458e-02 2.493455525115537696e-01 2.321539120064211037e-01 1.043312697863414545e-01 2.961575658599720495e-01 1.999671898018973160e-01 7.632340039591029024e-02 2.531095666934517485e-01 5.467476440043698982e-02 2.238765430667166711e-01 7.233620199640582171e-02 7.409689397697807878e-02 8.533748392205152411e-02 2.499229267062147986e-01 1.863092460608281875e-01 1.910685961025281598e-01 3.300347552591717526e-01 5.297634097211081222e-02 2.014647252735080607e-01 2.603528253182788577e-01 3.298129240713228993e-01 4.174782507283304051e-02 7.793902013165732168e-02 8.370166721188088133e-02 3.396288111085128403e-01 2.284016877399732137e-01
3.655496672443204250e-03 1.051943698279314728e-02 7.313145123887787591e-02 7.909968994481268029e-03 4.418967231270531579e-03 1.081596722399255778e-01 9.433668840400143141e-02 1.270101287920457067e-01 2.137219753564069402e-02 1.036972847054047075e-01 9.038145771715702659e-02 5.739347605436738442e-02 1.236605778545475515e-01 1.164918332083106078e-01 3.857880330893916597e-03 8.101138890540637849e-02 8.962648208360840876e-03 7.127320542499884781e-02 1.833865097543894637e-02 7.737693733169939171e-03 2.494219008342902361e-02 1.073478453617543321e-01 6.491847492159281974e-02 8.136996298672385941e-02 1.474089847114479768e-01 4.244613799280125971e-03 7.562379995511599173e-02 1.271706256989743045e-01 8.387179012116512122e-02 2.369651424674052223e-02 2.657195068220266632e-02 3.049246931221376300e-02 1.212596978164885014e-01 1.172074040624096480e-01
8.968095814441960634e-02 6.397276266807942757e-02 1.886424470522173324e-01 7.424138786809299229e-02 7.706624076216904429e-02 2.303261239095681090e-01 2.692827728905423657e-01 2.824085992561136682e-01 6.579438543221310942e-02 2.560993157368717243e-01 2.468448971016349858e-01 1.887101200834591652e-01 3.157879947287955957e-01 2.333991645575988483e-01 5.396797428423676102e-02 2.790274988564916403e-01 4.251491448925232702e-02 1.850087757771707309e-01 5.507889369760238241e-02 5.910392496308783383e-02 5.665876105199046942e-02 2.411832031776198759e-01 2.235760769262323255e-01 2.422173793049311463e-01 4.193208569789723117e-01 5.973881301396633675e-02 2.000652975743852091e-01 3.201167880723004844e-01 3.317305000695388584e-01 4.885873103625801989e-02 5.820800375126233134e-02 2.997816629490108326e-02 2.825338000848622855e-01 2.483132344000037461e-01
4.165691527913891606e-02 5.244166577488854758e-02 9.212923524110408491e-02 3.696621418488249544e-02 6.307903310638705852e-02 1.297912987862816780e-01 2.193118922018072459e-01 2.276275020439005314e-01 4.023174190588935800e-02 1.640553360206780942e-01 1.603828812212391153e-01 1.365771891535482729e-01 1.632286858640162874e-01 1.492209451906754414e-01 2.924147132681377201e-02 1.596172919440523308e-01 2.657826016555562762e-02 1.527717487588528544e-01 1.693839974778855312e-02 5.365378240645218150e-02 5.815465620263410990e-02 1.814202622441734580e-01 1.453858226761295669e-01 1.983570282861048251e-01 2.733928039452822589e-01 5.245411417960939987e-02 1.359458061439561827e-01 1.946729732521807199e-01 2.093492376297149959e-01 4.217222307163973061e-02 3.511260521333197521e-02 1.067304301213691312e-02 1.906661241004175833e-01 2.263685699736896484e-01
3.756110054428528355e-02 3.961129814971092039e-02 8.996266056906641884e-02 1.948529576852289433e-02 6.736611189149029066e-02 1.132211085257596034e-01 9.581725733974322257e-02 7.098479964982856716e-02 1.026603279887718968e-02 1.369771593281036148e-01 1.188870232488791895e-01 6.189257490793854261e-02 9.898781320605742895e-02 1.085379283053830995e-01 3.338226567119678689e-02 1.165377993911025922e-01 3.813126619250647997e-02 1.088782811289136093e-01 1.919629397810832319e-02 1.204342147804887166e-02 2.186848569613503504e-02 1.107257066632645337e-01 1.100171634975080220e-01 6.474603571520805290e-02 1.773229143188056189e-01 2.510514128581159063e-02 9.348747524450175261e-02 1.427726011806084716e-01 1.168456893619234105e-01 2.980458637298581334e-02 1.429613100570125209e-02 2.757490867021327938e-02 3.446924479074452430e-01 1.246330313027737835e-01
# length ll pi_a pi_c pi_g pi_t kappa omega tau (N0,N1) (N0,kluyveri) (N1,N2) (N1,castellii) (N2,N3) (N2,bayanus) (N3,N4) (N3,kudriavzevii) (N4,N5) (N4,mikatae) (N5,cerevisiae) (N5,paradoxus)
